NOME,LAT,LON,ENDERECO,BAIRRO,CEP,TIPO,dist_centro,eh_publico,categoria_distancia,tipo_descricao,setor,quadrante
ESF NOVO HORIZONTE,-27.2333315,-52.0484409,RUA GUILHERME MUNARETTO,LOTEAMENTO NOVO HORI,89705218,ESF,2.436291424062019,True,Próximo (2-5km),ESF,Público,NW
ESF GUILHERME REICH II,-27.2461031,-52.0202689,RUA VITORIA,GUILHERME REICH,89709172,ESF,1.4442271962201616,True,Muito Próximo (≤2km),ESF,Público,SE
ESF SALETE,-27.2167556,-52.015262,RUA JOAO ZANARDI,NOSSA SENHORA DA SAL,89700396,ESF,2.0443400847200506,True,Próximo (2-5km),ESF,Público,NE
PS PRESIDENTE KENNEDY,-27.2483118,-52.1186013,PRESIDENTE KENNEDY,CENTRO,89725000,PS,9.51588573122557,True,Moderado (5-10km),PS,Público,SW
PS SANTA CRUZ,-27.2249988,-52.0350825,RUA CLOVIS CESAR DE OLIVEIRA,SANTA CRUZ,89703142,PS,1.4621839509593246,True,Muito Próximo (≤2km),PS,Público,NW
PS ENGENHO VELHO,-27.234114,-52.201091,ENGENHO VELHO,CENTRO,89720000,PS,17.52864110092471,True,Distante (10-20km),PS,Público,NW
PS RANCHO GRANDE,-27.3380429,-51.967781,RANCHO GRANDE,RANCHO GRANDE,89715899,PS,12.87551081371346,True,Distante (10-20km),PS,Público,SE
PS TRES DE OUTUBRO,-27.1243386,-51.9846434,TRES DE OUTUBRO,INTERIOR,89715899,PS,12.741189882557197,True,Distante (10-20km),PS,Público,NE
ESF VILA JACOB BIEZUS,-27.2441391,-51.9539252,RUA ANDORINHAS,JACOB BIEZUS,89712232,ESF,7.008674722838307,True,Moderado (5-10km),ESF,Público,SE
ESF GUILHERME REICH,-27.2466631,-52.0200085,RUA VITORIA,GUILHERME REICH,89709172,ESF,1.5109050386331946,True,Muito Próximo (≤2km),ESF,Público,SE
ESF JARDIM EUROPA,-27.22889383,-52.00150967,RUA ALEXANDRE LORENZET,PARQUE DE EXPOSICOES,89711226,ESF,2.262598489822688,True,Próximo (2-5km),ESF,Público,NE
ESF SAO CRISTOVAO,-27.2304667,-51.9864312,RUA MAURO MATIOLLO,SAO CRISTOVAO,89711508,ESF,3.710024376682716,True,Próximo (2-5km),ESF,Público,NE
ESF INDUSTRIARIOS,-27.2349951,-52.0405281,OTTO TRAMONTINI,INDUSTRIARIOS,89705070,ESF,1.662211555644675,True,Muito Próximo (≤2km),ESF,Público,NW
PS JARDIM,-27.21589969,-52.02835321,RUA LEONIDAS FAVERO,JARDIM,89703024,PS,2.0081807105349574,True,Próximo (2-5km),PS,Público,NW
ESF NACOES,-27.2441305,-52.032473,RUA BOLIVIA,NACOES,89708184,ESF,1.4603008140572216,True,Muito Próximo (≤2km),ESF,Público,SW
PS BARRA BONITA,-27.2657536,-51.9119779,BARRA BONITA,INTERIOR,89715899,PS,11.62136403574257,True,Distante (10-20km),PS,Público,SE
ESF CRISTAL,-27.2425278,-52.0509926,RUA PEDRO RUBINI,CRISTAL,89707148,ESF,2.8696965558945093,True,Próximo (2-5km),ESF,Público,SW
ESF VISTA ALEGRE,-27.2247233,-52.0253905,MARIO DALFOVO,VISTA ALEGRE,89701044,ESF,0.988513253843171,True,Muito Próximo (≤2km),ESF,Público,NE
PS BARRA DO TIGRE,-27.2874049,-51.8702276,BARRA DO TIGRE,INTERIOR,89700995,PS,16.32039287142374,True,Distante (10-20km),PS,Público,SE
PS SAO LUIS,-27.3267388,-52.0593599,SAO LUIZ,CENTRO,89715899,PS,10.947103326528676,True,Distante (10-20km),PS,Público,SW
PS SEDE BRUM,-27.2867648,-52.0869413,SEDE BRUM,CENTRO,89715899,PS,8.604185853790932,True,Moderado (5-10km),PS,Público,SW
PS TAMANDUA,-27.3025472,-51.9976974,TAMANDUA,INTERIOR,89700991,PS,8.099574457979237,True,Moderado (5-10km),PS,Público,SE
PS CACHIMBO,-27.1803634,-51.9189932,CACHIMBO,INTERIOR,89715899,PS,11.930445352776827,True,Distante (10-20km),PS,Público,NE
PS TIRADENTES,-27.2392716,-51.8853275,TIRADENTES,CENTRO,89715899,PS,13.705295993812804,True,Distante (10-20km),PS,Público,SE
PS TERRA VERMELHA,-27.2946786,-52.2271415,TERRA VERMELHA,CENTRO,89715899,PS,21.218660086054868,True,Muito Distante (>20km),PS,Público,SW
ESF PLANALTO,-27.23406435,-52.0283103,CORONEL PASSOS MAIA,PLANALTO,89715899,ESF,0.45032084600404715,True,Muito Próximo (≤2km),ESF,Público,NE
PS SAO PAULO,-27.1250133,-52.3727026,SAO PAULO,CENTRO,89715899,PS,36.559867716241534,True,Muito Distante (>20km),PS,Público,NW
ESF SANTO ANTONIO,-27.19669192,-52.10673809,DISTRITO SANTO ANTONIO,CENTRO,89700990,ESF,9.1658997980913,True,Moderado (5-10km),ESF,Público,NW
ESF NAZARE,-27.2352949,-52.0353003,RUA VEREADOR JACOB SELBACH,NAZARE,89707006,ESF,1.154396240125581,True,Muito Próximo (≤2km),ESF,Público,SW
ESF ESTADOS,-27.2552449,-52.502155,RUA RIO GRANDE DO SUL,ESTADOS,89703488,ESF,47.35153518724722,True,Muito Distante (>20km),ESF,Público,SW
ESF PETROPOLIS,-27.22332237,-52.04730034,RUA DAS ERVEIRAS,PETROPOLIS,89703288,ESF,2.5845053511719014,True,Próximo (2-5km),ESF,Público,NW
CENTRO DE SAUDE BASICA CONCORDIA,-27.22908463,-52.00110197,RUA ALEXANDRE LORENZET,PARQUE DE EXPOSICAO,89711226,PS,2.2972504155278033,True,Próximo (2-5km),PS,Público,NE
